Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Smoking,Alcohol,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Punctuality,Lying,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls,Internet usage,Finances,Shopping centres,Branded clothing,Entertainment spending,Spending on looks,Spending on gadgets,Spending on healthy eating,Age,Height,Weight,Number of siblings,Gender,Left - right handed,Education,Only child,Village - town,House - block of flats
5.0,4.0,2.0,3.0,3.0,1.0,4.0,5.0,5.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,5.0,4.0,3.0,1.0,2.0,4.0,3.0,2.0,1.0,3.0,1.0,4.0,3.0,3.0,2.0,5.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4,2.0,4.0,5.0,3.0,former smoker,social drinker,3.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,5.0,3.0,4.0,2.0,4.0,4,4.0,5.0,4.0,2.0,2.0,4.0,2.0,2.0,4,3.0,3,i am always on time,only to avoid hurting someone,3.0,4.0,3.0,3.0,3.0,2.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,2.0,4.0,3.0,most of the day,4.0,4.0,4.0,2.0,3.0,2,3.0,24.0,169.0,0.4838709677419355,1.0,female,right handed,college/bachelor degree,no,city,house/bungalow
5.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,2.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,tried smoking,social drinker,4.0,3.0,1.0,4.0,4.0,5.0,1.0,3.0,4.0,5.0,1.0,4.0,1.0,1.0,3.0,1.0,5.0,3.0,1.0,4.0,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4,1.0,3,i am often running late,never,3.0,5.0,2.0,3.0,5.0,2.0,5.0,4.0,3.0,3.0,2.0,3.0,5.0,2.0,5.0,4.0,5.0,3.0,1.0,2.0,4.0,3.0,3.0,few hours a day,3.0,1.0,1.0,1.0,1.0,1,3.0,20.0,188.0,1.5725806451612903,3.0,male,right handed,college/bachelor degree,no,city,block of flats
5.0,4.0,3.0,1.0,1.0,5.0,3.0,5.0,5.0,1.0,2.0,5.0,1.0,3.0,5.0,1.0,1.0,3.0,2.0,5.0,2.0,5.0,5.0,2.0,5.0,3.0,4.0,4.0,5.0,1.0,5.0,2.0,3.0,2.0,5.0,5.0,5.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,3,1.0,1.0,4.0,3.0,tried smoking,social drinker,5.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,4.0,3.0,2.0,4.0,2.0,1.0,5.0,5.0,3.0,4.0,1.0,2.0,4,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3,1.0,1,i am always on time,only to avoid hurting someone,3.0,5.0,2.0,1.0,1.0,3.0,3.0,5.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,5.0,3.0,1.0,most of the day,3.0,2.0,4.0,2.0,1.0,4,5.0,20.0,185.0,1.7741935483870968,2.0,male,right handed,secondary school,no,city,house/bungalow
5.0,4.0,5.0,2.0,2.0,4.0,3.0,5.0,4.0,1.0,2.0,3.0,3.0,3.0,5.0,1.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,2.0,4.0,1.0,2.0,1.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,5.0,5.0,1.0,4.0,5.0,1.0,4.0,3.0,5.0,2.0,5.0,1.0,4.0,5.0,2.0,2.0,5.0,5.0,4,1.0,5.0,4.0,4.0,never smoked,social drinker,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,1.0,4,1.0,5.0,5.0,4.0,1.0,5.0,5.0,3.0,2,2.0,2,i am often early,never,2.0,5.0,2.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,2.0,4.0,2.0,1.0,2.0,5.0,1.0,5.0,1.0,3.0,most of the day,4.0,5.0,4.0,4.0,5.0,4,5.0,27.0,181.0,1.4919354838709677,1.0,male,right handed,masters degree,no,city,block of flats
5.0,3.0,1.0,1.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,1.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,1.0,3.0,3.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,3.0,5.0,1.0,1.0,1.0,3.0,3.0,1,1.0,1.0,1.0,4.0,former smoker,drink a lot,5.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,1.0,5.0,4.0,4.0,2.0,5.0,3,3.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5,1.0,5,i am often running late,everytime it suits me,2.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,1.0,2.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,1.0,few hours a day,1.0,4.0,5.0,4.0,5.0,4,5.0,19.0,168.0,0.28225806451612906,0.0,female,right handed,secondary school,yes,city,block of flats
5.0,3.0,1.0,4.0,3.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,5.0,5.0,4.0,1.0,2.0,5.0,1.0,2.0,3.0,4.0,1.0,2.0,5.0,4.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,2.0,3.0,3.0,5.0,3.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,4.0,5.0,1.0,5.0,3.0,4.0,4.0,3.0,3.0,5,4.0,2.0,5.0,2.0,tried smoking,social drinker,3.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,2.0,1.0,4.0,3.0,3.0,4.0,2.0,4.0,1,3.0,5.0,4.0,3.0,2.0,2.0,3.0,5.0,3,2.0,5,i am often running late,sometimes,3.0,5.0,3.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,few hours a day,3.0,3.0,3.0,3.0,3.0,2,2.0,19.0,164.0,0.5645161290322581,1.0,female,right handed,secondary school,no,village,block of flats
5.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,5.0,5.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,4.0,3.0,5.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,2.0,5.0,1.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,former smoker,drink a lot,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,5.0,5.0,2.0,4.0,1.0,4.0,1.0,5.0,1.0,3.0,2,1.0,3.0,4.0,1.0,5.0,3.0,1.0,2.0,3,1.0,5,i am often running late,sometimes,2.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,1.0,5.0,4.0,2.0,1.0,few hours a day,1.0,2.0,5.0,5.0,3.0,5,3.0,23.0,192.0,1.814516129032258,1.0,male,right handed,secondary school,no,city,block of flats
5.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,5.0,5.0,4.0,1.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,2.0,5.0,2.0,2.0,5.0,5.0,2.0,3,5.0,5.0,4.0,3.0,tried smoking,social drinker,5.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,2.0,5.0,4.0,1.0,1.0,4.0,5.0,3.0,3.0,1.0,5.0,5,5.0,5.0,5.0,3.0,5.0,5.0,2.0,4.0,4,3.0,3,i am always on time,sometimes,1.0,3.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,few hours a day,3.0,4.0,3.0,2.0,4.0,1,5.0,22.0,165.0,0.6451612903225806,2.0,female,right handed,college/bachelor degree,no,city,block of flats
5.0,4.0,5.0,3.0,2.0,3.0,3.0,5.0,2.0,1.0,3.0,4.0,1.0,2.0,4.0,3.0,5.0,2.0,1.0,5.0,2.0,3.0,5.0,5.0,3.0,1.0,5.0,5.0,3.0,1.0,4.0,2.0,3.0,3.0,3.0,1.0,5.0,4.0,2.0,1.0,1.0,1.0,4.0,5.0,2.0,2.0,2.0,1.0,4.0,2.0,5.0,5.0,1.0,5.0,5.0,2.0,3.0,4.0,3.0,2.0,5.0,2.0,5.0,1.0,3.0,3.0,3.0,5.0,5,5.0,1.0,4.0,1.0,tried smoking,social drinker,5.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,1.0,2.0,5.0,4.0,4.0,4.0,3.0,1,3.0,4.0,5.0,1.0,5.0,3.0,5.0,5.0,3,1.0,4,i am often early,sometimes,2.0,5.0,4.0,5.0,5.0,3.0,1.0,5.0,4.0,4.0,5.0,1.0,4.0,4.0,3.0,5.0,1.0,3.0,3.0,4.0,5.0,3.0,3.0,few hours a day,4.0,3.0,4.0,3.0,3.0,4,4.0,19.0,163.0,0.3629032258064516,1.0,female,right handed,secondary school,yes,city,block of flats
5.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,4.0,4.0,5.0,5.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,1.0,2.0,4.0,1.0,4.0,5.0,1.0,4.0,1.0,4.0,4.0,2.0,4.0,4,4.0,2.0,4.0,4.0,tried smoking,social drinker,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0,4.0,4.0,3.0,1.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,1,3.0,5.0,3.0,3.0,5.0,5.0,4.0,3.0,3,1.0,3,i am always on time,sometimes,3.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,5.0,4.0,4.0,3.0,few hours a day,3.0,3.0,3.0,1.0,4.0,1,4.0,22.0,160.0,0.24193548387096775,0.0,female,right handed,college/bachelor degree,yes,city,block of flats
5.0,3.0,4.0,4.0,1.0,3.0,4.0,5.0,3.0,1.0,1.0,5.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,2.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,1.0,5.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,1,1.0,1.0,2.0,3.0,tried smoking,social drinker,4.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,3,4.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,3,3.0,3,i am always on time,everytime it suits me,5.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,few hours a day,5.0,4.0,4.0,2.0,3.0,4,3.0,20.0,172.0,1.3709677419354838,3.0,male,left handed,secondary school,no,village,house/bungalow
3.0,4.0,2.0,4.0,2.0,4.0,2.0,5.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,5,2.0,4.0,2.0,3.0,current smoker,drink a lot,4.0,5.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,5,1.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5,4.0,4,i am always on time,only to avoid hurting someone,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,5.0,few hours a day,3.0,4.0,2.0,2.0,2.0,3,4.0,25.0,195.0,2.1774193548387095,1.0,male,right handed,secondary school,no,city,house/bungalow
5.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,1.0,4.0,1.0,2.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,5.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,4.0,4.0,2.0,5.0,5.0,5.0,5,1.0,3.0,5.0,4.0,former smoker,social drinker,2.0,3.0,1.0,1.0,1.0,5.0,3.0,3.0,4.0,1.0,5.0,3.0,2.0,1.0,5.0,5.0,5.0,3.0,1.0,5.0,2,4.0,5.0,5.0,5.0,2.0,4.0,3.0,5.0,3,1.0,1,i am often early,only to avoid hurting someone,3.0,1.0,4.0,4.0,2.0,3.0,5.0,3.0,1.0,3.0,1.0,5.0,5.0,5.0,2.0,1.0,2.0,2.0,3.0,5.0,1.0,4.0,4.0,few hours a day,3.0,1.0,1.0,1.0,2.0,1,4.0,21.0,169.0,0.8064516129032258,1.0,female,right handed,college/bachelor degree,no,city,block of flats
4.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,1.0,5.0,5.0,5.0,1.0,2.0,5.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,5.0,3.0,5.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,2.0,1.0,5.0,5.0,2.0,3.0,1.0,5.0,5.0,4.0,5.0,1.0,3.0,1.0,1.0,1.0,2,1.0,3.0,5.0,4.0,never smoked,social drinker,4.0,4.0,1.0,3.0,4.0,1.0,1.0,4.0,3.0,1.0,5.0,1.0,1.0,1.0,2.0,5.0,4.0,5.0,1.0,5.0,2,2.0,5.0,4.0,3.0,2.0,1.0,2.0,1.0,3,2.0,3,i am often running late,only to avoid hurting someone,4.0,2.0,2.0,4.0,2.0,2.0,5.0,5.0,3.0,2.0,1.0,4.0,3.0,5.0,4.0,3.0,1.0,3.0,4.0,4.0,5.0,3.0,2.0,less than an hour a day,2.0,1.0,1.0,1.0,2.0,1,4.0,20.0,171.0,0.8870967741935484,1.0,female,right handed,secondary school,no,city,block of flats
5.0,4.0,5.0,3.0,3.0,3.0,2.0,5.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,5.0,2.0,1.0,1.0,4.0,4.0,3.0,1.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,1.0,1.0,1.0,4.0,4,1.0,2.0,3.0,5.0,current smoker,social drinker,3.0,2.0,4.0,4.0,3.0,5.0,1.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,3.0,5.0,5.0,4.0,2.0,4.0,2,3.0,2.0,5.0,3.0,5.0,4.0,4.0,3.0,3,1.0,2,i am always on time,sometimes,4.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,5.0,4.0,1.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,few hours a day,3.0,1.0,4.0,4.0,4.0,5,4.0,19.0,180.0,1.9758064516129032,1.0,male,right handed,college/bachelor degree,no,city,house/bungalow
5.0,4.0,4.0,1.0,2.0,3.0,3.0,5.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,5.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,2.0,1.0,1.0,2.0,5.0,5.0,4.0,1.0,2.0,2.0,3.0,4.0,1.0,4.0,5.0,3.0,2.0,3.0,5.0,1.0,1.0,4.0,5.0,1.0,2.0,3.0,5.0,2.0,5.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1,1.0,1.0,4.0,1.0,tried smoking,social drinker,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,2,3.0,4.0,5.0,3.0,2.0,2.0,2.0,1.0,3,2.0,5,i am often early,sometimes,2.0,5.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,4.0,5.0,1.0,4.0,4.0,4.0,5.0,3.0,1.0,few hours a day,3.0,1.0,4.0,3.0,2.0,3,3.0,22.0,177.0,1.5725806451612903,1.0,male,right handed,secondary school,no,city,block of flats
5.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,5.0,2.0,1.0,5.0,5.0,5.0,4.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,3.0,5.0,2.0,1.0,2.0,5.0,1.0,4.0,2.0,1.0,1.0,2.0,5.0,1.0,3.0,4.0,3.0,3.0,5.0,2.0,5.0,1.0,1.0,1.0,4.0,1.0,2,1.0,2.0,2.0,2.0,tried smoking,social drinker,3.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,5.0,3.0,2.0,1.0,3.0,5.0,5.0,2.0,2.0,1.0,1,3.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,4,3.0,3,i am often running late,only to avoid hurting someone,4.0,3.0,3.0,3.0,5.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,2.0,3.0,4.0,5.0,3.0,4.0,3.0,few hours a day,4.0,5.0,5.0,3.0,4.0,1,5.0,19.0,155.0,0.3629032258064516,0.0,female,right handed,secondary school,yes,city,block of flats
5.0,2.0,5.0,3.0,2.0,4.0,1.0,4.0,2.0,1.0,2.0,1.0,3.0,5.0,3.0,3.0,3.0,5.0,2.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,3.0,5.0,5.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,4.0,5.0,2.0,5.0,4.0,1.0,3.0,4.0,5.0,5.0,1.0,1.0,1.0,3.0,1.0,1,1.0,4.0,4.0,5.0,tried smoking,drink a lot,1.0,5.0,1.0,4.0,1.0,3.0,1.0,2.0,5.0,5.0,3.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,1.0,4.0,4,1.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3,2.0,3,i am often early,only to avoid hurting someone,2.0,1.0,5.0,4.0,2.0,4.0,3.0,3.0,2.0,5.0,4.0,5.0,1.0,5.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,most of the day,4.0,4.0,3.0,2.0,2.0,2,4.0,24.0,175.0,1.2096774193548387,0.0,male,right handed,college/bachelor degree,yes,village,house/bungalow
5.0,5.0,5.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,4.0,5.0,5.0,1.0,2.0,2.0,3.0,5.0,5.0,4.0,1.0,5.0,2.0,3.0,5.0,5.0,2.0,3.0,5.0,2.0,5.0,3.0,2.0,4.0,3.0,5.0,5,5.0,2.0,4.0,3.0,tried smoking,social drinker,4.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,5.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,1,4.0,5.0,4.0,3.0,2.0,3.0,3.0,4.0,3,3.0,3,i am often early,only to avoid hurting someone,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,2.0,4.0,4.0,2.0,few hours a day,2.0,3.0,2.0,3.0,4.0,2,3.0,22.0,169.0,0.7258064516129032,2.0,female,right handed,college/bachelor degree,no,city,block of flats
4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,5.0,4.0,2.0,1.0,2.0,2.0,5.0,5.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,5.0,5.0,1.0,4.0,5.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,5,5.0,5.0,5.0,4.0,never smoked,never,3.0,3.0,2.0,1.0,2.0,5.0,3.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,3.0,5.0,1,1.0,3.0,5.0,3.0,3.0,4.0,2.0,4.0,4,1.0,3,i am always on time,only to avoid hurting someone,3.0,5.0,3.0,3.0,3.0,1.0,2.0,3.0,5.0,1.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,less than an hour a day,3.0,4.0,2.0,3.0,3.0,3,3.0,16.0,168.0,0.3629032258064516,1.0,female,right handed,primary school,no,city,block of flats
1.0,3.0,4.0,1.0,2.0,1.0,2.0,4.0,5.0,3.0,4.0,5.0,2.0,1.0,3.0,3.0,4.0,4.0,1.0,5.0,4.0,5.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,5.0,2.0,1.0,4.0,3.0,2.0,5.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0,1.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,3,4.0,3.0,2.0,4.0,tried smoking,social drinker,2.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,5.0,4,3.0,5.0,4.0,2.0,4.0,3.0,2.0,4.0,2,4.0,2,i am often early,only to avoid hurting someone,4.0,2.0,3.0,4.0,2.0,3.0,5.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,1.0,4.0,3.0,2.0,few hours a day,4.0,3.0,2.0,4.0,2.0,5,3.0,19.0,184.0,1.5725806451612903,1.0,male,right handed,college/bachelor degree,no,village,house/bungalow
